stage,user_raw_input,extracted_value
DAYS,About 2 days,2
CONSENT,Nope,no
CONFIRMATION,Wait,no
INJURIES,I have a shoulder impingement,shoulder impingement
CONSENT,Go ahead,yes
CONFIRMATION,I need to change something,no
CONSENT,I would rather not,no
DAYS,2 days,2
AGE,I am 26,26
CONSENT,No,no
WEIGHT,I weigh 137 lbs,137
GOAL,My goal is to build muscle,build muscle
AGE,I am 50,50
EQUIPMENT,I only have full gym,full gym
CONFIRMATION,That's right,yes
CONFIRMATION,Incorrect,no
LEVEL,Just a advanced,advanced
DAYS,I can do 3 days a week,3
AGE,I am 40,40
DAYS,I can do 3 days a week,3
LEVEL,Pretty much a novice,novice
LEVEL,beginner,beginner
EQUIPMENT,kettlebells,kettlebells
CONSENT,Yes,yes
CONSENT,Yes you do,yes
GOAL,Looking to lose weight,lose weight
LEVEL,beginner,beginner
WEIGHT,About 136,136
EQUIPMENT,I workout at a kettlebells,kettlebells
DAYS,4 days,4
HEIGHT,I am 154 centimeters,154
WEIGHT,229 pounds,229
WEIGHT,134 pounds,134
CONSENT,I don't consent,no
INJURIES,No,none
CONFIRMATION,Wait,no
GOAL,get shredded,get shredded
ALLERGIES,gluten,gluten
EQUIPMENT,Just dumbbells,dumbbells
LEVEL,I am a beginner,beginner
INJURIES,None,none
AGE,I just turned 56,56
CONFIRMATION,Generate it,yes
AGE,62,62
GOAL,Looking to get shredded,get shredded
CONFIRMATION,No,no
WEIGHT,134,134
INJURIES,My lower back pain hurts sometimes,lower back pain
EQUIPMENT,I workout at a bodyweight,bodyweight
CONSENT,Sure,yes
INJURIES,tennis elbow,tennis elbow
CONSENT,Yeah that's fine,yes
DAYS,About 6 days,6
ALLERGIES,gluten,gluten
GREETING,Yes I am,yes
GOAL,get shredded,get shredded
HEIGHT,178,178
ALLERGIES,I am shellfish,shellfish
AGE,I just turned 22,22
DAYS,I can do 3 days a week,3
CONSENT,Go ahead,yes
CONSENT,I would rather not,no
WEIGHT,Around 286,286
GREETING,Let's do it,yes
CONSENT,Go ahead,yes
CONSENT,Nah,no
CONSENT,No,no
INJURIES,Dealing with lower back pain,lower back pain
EQUIPMENT,I workout at a full gym,full gym
INJURIES,shoulder impingement,shoulder impingement
CONSENT,I consent,yes
INJURIES,Nope,none
HEIGHT,172,172
HEIGHT,152 cm,152
DAYS,3,3
AGE,I just turned 43,43
INJURIES,twisted ankle,twisted ankle
EQUIPMENT,I only have bodyweight,bodyweight
ALLERGIES,I'm allergic to peanuts,peanut
GREETING,Absolutely,yes
GOAL,Looking to endurance,endurance
LEVEL,pro,pro
LEVEL,Pretty much a pro,pro
CONFIRMATION,Go ahead,yes
INJURIES,Nope,none
CONSENT,Go ahead,yes
CONSENT,I would rather not,no
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,My goal is to endurance,endurance
CONFIRMATION,No,no
CONFIRMATION,Perfect,yes
HEIGHT,About 170 cm,170
CONFIRMATION,Perfect,yes
EQUIPMENT,I workout at a home gym,home gym
LEVEL,I'd say advanced,advanced
HEIGHT,I am 188 centimeters,188
WEIGHT,I am 174 lbs,174
AGE,24,24
CONSENT,No,no
CONSENT,Sure,yes
CONFIRMATION,Generate it,yes
HEIGHT,About 155 cm,155
CONSENT,I don't consent,no
WEIGHT,About 164,164
GREETING,Give me a minute,no
GREETING,Yes I am,yes
GREETING,Yes,yes
CONSENT,Sure,yes
GREETING,Yes,yes
HEIGHT,About 157 cm,157
GOAL,build muscle,build muscle
INJURIES,I have a lower back pain,lower back pain
DAYS,About 4 days,4
GOAL,I want to burn fat,burn fat
LEVEL,Pretty much a beginner,beginner
INJURIES,Dealing with lower back pain,lower back pain
DAYS,I have 5 days free,5
CONSENT,Yes you do,yes
GREETING,No,no
GREETING,Give me a minute,no
GREETING,Give me a minute,no
INJURIES,Dealing with bad knee,bad knee
INJURIES,twisted ankle,twisted ankle
ALLERGIES,I'm allergic to peanuts,peanut
CONSENT,Nah,no
GOAL,Looking to get shredded,get shredded
HEIGHT,I am 154 centimeters,154
INJURIES,tennis elbow,tennis elbow
DAYS,I can do 3 days a week,3
DAYS,3 days,3
GREETING,Ready,yes
LEVEL,pro,pro
AGE,37,37
CONFIRMATION,Go ahead,yes
WEIGHT,About 216,216
GREETING,Absolutely,yes
LEVEL,Just a novice,novice
DAYS,About 4 days,4
AGE,42,42
ALLERGIES,I am lactose intolerant,lactose intolerant
LEVEL,pro,pro
CONFIRMATION,No,no
INJURIES,Dealing with bad knee,bad knee
INJURIES,shoulder impingement,shoulder impingement
GOAL,My goal is to tone up,tone up
HEIGHT,186 cm,186
AGE,I'm 17,17
GOAL,I want to build muscle,build muscle
CONSENT,I would rather not,no
INJURIES,My bad knee hurts sometimes,bad knee
HEIGHT,181 cm,181
CONSENT,I would rather not,no
LEVEL,beginner,beginner
CONFIRMATION,Looks correct,yes
EQUIPMENT,I have access to full gym,full gym
CONSENT,Okay,yes
AGE,I am 24,24
EQUIPMENT,I only have home gym,home gym
LEVEL,Just a pro,pro
LEVEL,Just a pro,pro
EQUIPMENT,full gym,full gym
DAYS,6 days,6
HEIGHT,168 cm,168
EQUIPMENT,I workout at a resistance bands,resistance bands
GOAL,build muscle,build muscle
GOAL,My goal is to build muscle,build muscle
LEVEL,I am a advanced,advanced
HEIGHT,About 189 cm,189
LEVEL,I am a pro,pro
CONFIRMATION,Generate it,yes
AGE,I am 29,29
WEIGHT,253,253
CONSENT,Yes you do,yes
WEIGHT,I am 155 lbs,155
ALLERGIES,I have a gluten allergy,gluten
HEIGHT,161,161
INJURIES,My bad knee hurts sometimes,bad knee
ALLERGIES,Nope,none
CONFIRMATION,Looks good,yes
DAYS,2 days,2
AGE,I just turned 43,43
DAYS,I have 3 days free,3
ALLERGIES,peanut,peanut
EQUIPMENT,I only have full gym,full gym
GOAL,tone up,tone up
HEIGHT,191 cm,191
DAYS,About 4 days,4
DAYS,4,4
GREETING,No,no
AGE,I am 38 years old,38
GREETING,Yes I am,yes
CONFIRMATION,I need to change something,no
CONFIRMATION,No,no
EQUIPMENT,I have access to dumbbells,dumbbells
EQUIPMENT,resistance bands,resistance bands
DAYS,About 2 days,2
GOAL,build muscle,build muscle
DAYS,I have 2 days free,2
ALLERGIES,lactose intolerant,lactose intolerant
ALLERGIES,I am gluten,gluten
CONFIRMATION,That's right,yes
AGE,I am 63 years old,63
CONSENT,Yeah that's fine,yes
GREETING,Yeah let's go,yes
LEVEL,Just a advanced,advanced
GREETING,Ready,yes
EQUIPMENT,dumbbells,dumbbells
GOAL,build muscle,build muscle
WEIGHT,I weigh 220 lbs,220
CONFIRMATION,Looks correct,yes
CONFIRMATION,Wait,no
EQUIPMENT,I have access to home gym,home gym
CONSENT,Sure,yes
GOAL,I want to get shredded,get shredded
EQUIPMENT,I have access to full gym,full gym
HEIGHT,178,178
HEIGHT,195,195
LEVEL,I'd say beginner,beginner
CONSENT,Nope,no
CONSENT,Yes you do,yes
GREETING,No,no
DAYS,I have 5 days free,5
LEVEL,I'd say novice,novice
LEVEL,I am a advanced,advanced
GOAL,Looking to lose weight,lose weight
EQUIPMENT,I workout at a full gym,full gym
EQUIPMENT,Just resistance bands,resistance bands
CONSENT,Go ahead,yes
INJURIES,twisted ankle,twisted ankle
CONSENT,Nah,no
AGE,I'm 41,41
ALLERGIES,I'm allergic to glutens,gluten
GREETING,Nah,no
AGE,I just turned 52,52
GREETING,Yes I am,yes
LEVEL,advanced,advanced
LEVEL,I am a beginner,beginner
EQUIPMENT,I workout at a dumbbells,dumbbells
GREETING,Give me a minute,no
ALLERGIES,shellfish,shellfish
WEIGHT,About 144,144
GREETING,No,no
GREETING,Yeah let's go,yes
ALLERGIES,I eat everything,none
INJURIES,shoulder impingement,shoulder impingement
GOAL,My goal is to build muscle,build muscle
HEIGHT,194,194
INJURIES,twisted ankle,twisted ankle
GOAL,My goal is to burn fat,burn fat
GREETING,No,no
DAYS,5,5
GOAL,I want to build muscle,build muscle
WEIGHT,Around 265,265
HEIGHT,182 cm,182
ALLERGIES,None,none
HEIGHT,I am 183 centimeters,183
CONFIRMATION,Wait,no
GREETING,Let's do it,yes
WEIGHT,About 212,212
EQUIPMENT,I workout at a resistance bands,resistance bands
HEIGHT,I am 185 centimeters,185
GREETING,Give me a minute,no
CONSENT,Nah,no
ALLERGIES,I am lactose intolerant,lactose intolerant
CONSENT,Yes,yes
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
GREETING,Absolutely,yes
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,burn fat,burn fat
EQUIPMENT,full gym,full gym
AGE,I am 18 years old,18
WEIGHT,About 159,159
WEIGHT,151,151
ALLERGIES,I'm allergic to glutens,gluten
GREETING,I'm ready,yes
CONFIRMATION,Yes,yes
LEVEL,Just a beginner,beginner
AGE,I'm 30,30
LEVEL,I am a novice,novice
CONFIRMATION,Yes,yes
HEIGHT,164 cm,164
LEVEL,Just a pro,pro
INJURIES,lower back pain,lower back pain
LEVEL,Just a beginner,beginner
CONFIRMATION,Looks correct,yes
HEIGHT,192 cm,192
GOAL,build muscle,build muscle
AGE,I just turned 56,56
CONSENT,I consent,yes
GREETING,Yes I am,yes
EQUIPMENT,kettlebells,kettlebells
LEVEL,advanced,advanced
INJURIES,Nope,none
LEVEL,Pretty much a advanced,advanced
AGE,I just turned 32,32
GOAL,I want to build muscle,build muscle
ALLERGIES,gluten,gluten
AGE,I am 30,30
CONSENT,Sure,yes
WEIGHT,126,126
GOAL,tone up,tone up
CONSENT,No,no
GREETING,Not ready,no
CONSENT,I would rather not,no
INJURIES,Dealing with lower back pain,lower back pain
GREETING,Nah,no
ALLERGIES,I am gluten,gluten
EQUIPMENT,kettlebells,kettlebells
EQUIPMENT,I workout at a bodyweight,bodyweight
AGE,I am 43 years old,43
WEIGHT,137 pounds,137
AGE,I am 39 years old,39
CONFIRMATION,Incorrect,no
CONSENT,Nah,no
CONFIRMATION,That is wrong,no
INJURIES,shoulder impingement,shoulder impingement
DAYS,I can do 6 days a week,6
GOAL,Mainly to tone up,tone up
GOAL,I want to lose weight,lose weight
HEIGHT,158 cm,158
EQUIPMENT,Just full gym,full gym
WEIGHT,I weigh 239 lbs,239
CONSENT,Yes you do,yes
EQUIPMENT,bodyweight,bodyweight
GREETING,Let's do it,yes
CONSENT,I don't consent,no
CONFIRMATION,Looks correct,yes
DAYS,2,2
ALLERGIES,I have a shellfish allergy,shellfish
GREETING,Absolutely,yes
DAYS,6 days,6
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
CONFIRMATION,Perfect,yes
CONSENT,I consent,yes
ALLERGIES,Nope,none
AGE,I am 32,32
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
DAYS,About 3 days,3
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
HEIGHT,190,190
HEIGHT,About 190 cm,190
EQUIPMENT,I only have full gym,full gym
ALLERGIES,I am vegan,vegan
CONSENT,No,no
ALLERGIES,None,none
CONSENT,Okay,yes
CONFIRMATION,Looks good,yes
LEVEL,intermediate,intermediate
AGE,18,18
GREETING,Not ready,no
AGE,I am 49 years old,49
WEIGHT,I weigh 291 lbs,291
ALLERGIES,shellfish,shellfish
INJURIES,Nope,none
DAYS,4,4
GOAL,My goal is to build muscle,build muscle
INJURIES,Dealing with shoulder impingement,shoulder impingement
AGE,I am 21,21
GOAL,My goal is to endurance,endurance
WEIGHT,272 pounds,272
GOAL,Looking to endurance,endurance
CONSENT,Nah,no
GOAL,Looking to burn fat,burn fat
EQUIPMENT,I only have dumbbells,dumbbells
DAYS,5 days,5
HEIGHT,About 190 cm,190
AGE,54,54
HEIGHT,189 cm,189
INJURIES,Dealing with lower back pain,lower back pain
WEIGHT,I am 117 lbs,117
EQUIPMENT,I workout at a bodyweight,bodyweight
HEIGHT,I am 153 centimeters,153
GOAL,My goal is to get shredded,get shredded
WEIGHT,Around 128,128
DAYS,6 days,6
INJURIES,I have a bad knee,bad knee
ALLERGIES,No allergies,none
EQUIPMENT,I have access to resistance bands,resistance bands
WEIGHT,I am 125 lbs,125
CONFIRMATION,Looks correct,yes
CONSENT,Yes you do,yes
CONFIRMATION,Go ahead,yes
